,column_n,column_i,column_j,column_k,solution_value
0,1,1,1,1,0.0
1,1,1,1,2,0.0
2,1,1,1,3,1.0
3,1,1,1,4,0.0
4,1,1,2,1,0.0
5,1,1,2,2,1.0
6,1,1,2,3,0.0
7,1,1,2,4,0.0
8,1,1,3,1,1.0
9,1,1,3,2,0.0
10,1,1,3,3,0.0
11,1,1,3,4,0.0
12,1,1,4,1,0.0
13,1,1,4,2,0.0
14,1,1,4,3,0.0
15,1,1,4,4,1.0
16,1,2,1,1,1.0
17,1,2,1,2,0.0
18,1,2,1,3,0.0
19,1,2,1,4,0.0
20,1,2,2,1,0.0
21,1,2,2,2,0.0
22,1,2,2,3,0.0
23,1,2,2,4,1.0
24,1,2,3,1,0.0
25,1,2,3,2,0.0
26,1,2,3,3,1.0
27,1,2,3,4,0.0
28,1,2,4,1,0.0
29,1,2,4,2,1.0
30,1,2,4,3,0.0
31,1,2,4,4,0.0
32,1,3,1,1,0.0
33,1,3,1,2,0.0
34,1,3,1,3,0.0
35,1,3,1,4,1.0
36,1,3,2,1,1.0
37,1,3,2,2,0.0
38,1,3,2,3,0.0
39,1,3,2,4,0.0
40,1,3,3,1,0.0
41,1,3,3,2,1.0
42,1,3,3,3,0.0
43,1,3,3,4,0.0
44,1,3,4,1,0.0
45,1,3,4,2,0.0
46,1,3,4,3,1.0
47,1,3,4,4,0.0
48,1,4,1,1,0.0
49,1,4,1,2,1.0
50,1,4,1,3,0.0
51,1,4,1,4,0.0
52,1,4,2,1,0.0
53,1,4,2,2,0.0
54,1,4,2,3,1.0
55,1,4,2,4,0.0
56,1,4,3,1,0.0
57,1,4,3,2,0.0
58,1,4,3,3,0.0
59,1,4,3,4,1.0
60,1,4,4,1,1.0
61,1,4,4,2,0.0
62,1,4,4,3,0.0
63,1,4,4,4,0.0
64,2,1,1,1,0.0
65,2,1,1,2,1.0
66,2,1,1,3,0.0
67,2,1,1,4,0.0
68,2,1,2,1,0.0
69,2,1,2,2,0.0
70,2,1,2,3,0.0
71,2,1,2,4,1.0
72,2,1,3,1,0.0
73,2,1,3,2,0.0
74,2,1,3,3,1.0
75,2,1,3,4,0.0
76,2,1,4,1,1.0
77,2,1,4,2,0.0
78,2,1,4,3,0.0
79,2,1,4,4,0.0
80,2,2,1,1,0.0
81,2,2,1,2,0.0
82,2,2,1,3,1.0
83,2,2,1,4,0.0
84,2,2,2,1,1.0
85,2,2,2,2,0.0
86,2,2,2,3,0.0
87,2,2,2,4,0.0
88,2,2,3,1,0.0
89,2,2,3,2,1.0
90,2,2,3,3,0.0
91,2,2,3,4,0.0
92,2,2,4,1,0.0
93,2,2,4,2,0.0
94,2,2,4,3,0.0
95,2,2,4,4,1.0
96,2,3,1,1,1.0
97,2,3,1,2,0.0
98,2,3,1,3,0.0
99,2,3,1,4,0.0
100,2,3,2,1,0.0
101,2,3,2,2,0.0
102,2,3,2,3,1.0
